epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.6066516629157289,0.6151814888808708,0.684,0.6887583011583013
2,0.6809202300575143,0.6867200313151226,0.63,0.6363507185207516
3,0.6719179794948738,0.6782959689569745,0.694,0.7008626834513375
4,0.6869217304326082,0.6930685798286387,0.692,0.6997809409796816
5,0.6999249812453113,0.7050720629600551,0.594,0.5952343634363436
6,0.6969242310577645,0.7029129399527608,0.711,0.7126003239777536
7,0.698174543635909,0.7036720402590813,0.728,0.728
8,0.6894223555888972,0.695480242576205,0.637,0.6415653719065416
9,0.7066766691672918,0.7119301520377095,0.728,0.7299101992268807
10,0.7106776694173543,0.7161560897303136,0.733,0.7275301089226255
11,0.689922480620155,0.6954879659558251,0.663,0.6711346162250945
12,0.7104276069017255,0.7157978759443151,0.708,0.7082018576290414
13,0.6984246061515379,0.7043456128381296,0.677,0.6849501871610093
14,0.7051762940735183,0.7098635946206983,0.667,0.6746612555724041
15,0.6914228557139285,0.69780777079252,0.708,0.7150231784222699
16,0.7111777944486122,0.716606357167802,0.651,0.658235577509883
17,0.7116779194798699,0.7169509727957878,0.741,0.7430418089230632
18,0.7176794198549638,0.7220115949611666,0.639,0.6462867432936288
19,0.7139284821205302,0.7190188219633925,0.7,0.7075193184069745
20,0.7139284821205302,0.718951224097503,0.655,0.6621526482547554
21,0.7149287321830458,0.720256485723068,0.73,0.7326469783025304
22,0.7101775443860965,0.715014960672685,0.658,0.6655509510869565
23,0.700675168792198,0.7067603223128367,0.661,0.6684464867782304
24,0.7099274818704676,0.7150663291010902,0.67,0.6782890023065221
25,0.7119279819954989,0.7176910483807245,0.686,0.6931324627998785
26,0.7029257314328582,0.7087583648853217,0.726,0.7301258687258687
