epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.65825,0.6620129401775193,0.765,0.7620946313649439
2,0.7625,0.7632503504634022,0.728,0.7297435897435899
3,0.76275,0.7647498459342057,0.781,0.7785680657122421
4,0.77175,0.7732937091475626,0.775,0.776504818311739
5,0.7775,0.7788864699694759,0.78,0.7801793707050034
6,0.7685,0.7704825675399781,0.785,0.7846745184406639
7,0.783,0.7841880417143484,0.784,0.7853655330493471
8,0.7835,0.784735670036051,0.78,0.7819188628236129
9,0.78625,0.7876205639562729,0.779,0.7811252438136569
10,0.7865,0.7879217555623114,0.797,0.7982577090723432
11,0.78675,0.7882358278714348,0.791,0.7884160764054181
12,0.78725,0.7883385798154625,0.785,0.7868589008227973
13,0.78275,0.7844699571218007,0.791,0.7905889143685318
14,0.7845,0.7856458213841008,0.769,0.771274457958752
15,0.78975,0.7911719708577218,0.794,0.7944060587197841
16,0.7845,0.7859199935525466,0.795,0.793215315815935
17,0.7905,0.7919667348848329,0.788,0.7883380955545218
18,0.7945,0.7955431661101188,0.795,0.7945020246389506
19,0.79525,0.7964881811182616,0.788,0.7895833333333333
