epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.4335,0.3971932038354526,0.434,0.40121794324076904
2,0.47375,0.467637178105992,0.506,0.5077549407114625
3,0.52525,0.5323499658876504,0.559,0.5691267730847336
4,0.547,0.5573920126557348,0.586,0.5958190957268564
5,0.57775,0.587756270030962,0.6,0.6093038696960266
6,0.58425,0.5941049686500224,0.611,0.6200730991756536
7,0.592,0.6016790302387067,0.626,0.6343487504118033
8,0.60275,0.6121168646214467,0.636,0.6440579642398037
9,0.617,0.6260511080809985,0.644,0.6515862692868272
10,0.625,0.6332933472270754,0.65,0.6560611205432938
11,0.635,0.6428614433097192,0.652,0.6584849837662338
12,0.6375,0.6459043851403173,0.664,0.6711600743830728
13,0.65175,0.6594445948734949,0.668,0.6741868235930737
14,0.65475,0.6619839342926495,0.673,0.6782470247318664
15,0.6525,0.6602132916655838,0.669,0.675776530163155
16,0.659,0.6668976953286482,0.673,0.6803288832105912
17,0.655,0.6630301628172612,0.674,0.6808725513621825
18,0.66175,0.6696339196631051,0.684,0.6908700247508194
19,0.6715,0.6786216724381747,0.682,0.6886285580021482
20,0.666,0.6731284119707184,0.689,0.6955198238578281
21,0.677,0.6841694768575066,0.686,0.692890158777899
22,0.67175,0.6792590847508811,0.692,0.6985634015178168
23,0.676,0.6830969185593033,0.697,0.703279013465056
24,0.68625,0.6930734868588841,0.696,0.7023367346938776
25,0.6745,0.6819698864765501,0.692,0.698758499692971
26,0.6795,0.6866994809139464,0.69,0.6968625519624702
27,0.69,0.6969291488661139,0.704,0.7096068419385492
28,0.6845,0.6912953023677162,0.698,0.7042950456498389
29,0.69575,0.7025213404271723,0.705,0.7107188517097518
30,0.69675,0.7032595123186074,0.705,0.7105429419240069
31,0.6995,0.7059577705151592,0.706,0.7121282894736841
32,0.708,0.7142751047934326,0.709,0.7150303396644597
33,0.6955,0.7023510358903146,0.71,0.7162435401192594
34,0.69675,0.7032741839396872,0.71,0.7157448958965028
35,0.7065,0.7125263848402605,0.714,0.7195026919376888
36,0.70175,0.7078301642814147,0.719,0.7241923632060957
37,0.70325,0.709368755836641,0.711,0.7169888940310271
38,0.69675,0.7037621293508397,0.712,0.7182612883804936
39,0.699,0.7056318010676337,0.714,0.7199615332975295
40,0.70675,0.7130590418476943,0.721,0.7262423077857556
41,0.7035,0.7099945566445476,0.718,0.7238089022715533
42,0.70675,0.7128624198180964,0.72,0.7253037694013303
43,0.71725,0.7228017748623832,0.723,0.7280297001931677
44,0.7155,0.7210954853215047,0.723,0.7282885435102193
45,0.7135,0.7195106737908891,0.721,0.7265651966649513
46,0.70875,0.7147553500839822,0.72,0.7255467960380029
47,0.70575,0.7119622849423981,0.723,0.728369904825767
48,0.71225,0.7178809195015368,0.726,0.7311901171998733
49,0.7125,0.7184686551940579,0.722,0.7275071760663029
50,0.71275,0.7188294667700216,0.72,0.7256228779151713
51,0.713,0.7191108927686004,0.725,0.7303311329497687
52,0.70975,0.7159804565555673,0.721,0.7265651966649513
53,0.719,0.7247533496972672,0.725,0.7303311329497687
54,0.71625,0.722100705875811,0.723,0.7285253027820485
55,0.716,0.7219274133422007,0.723,0.7284488215931534
56,0.7185,0.7243282936486449,0.722,0.7275071760663029
57,0.7095,0.7157287377968267,0.724,0.7295425510878117
