epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.5411352838209552,0.5449852258561562,0.616,0.49267777917935596
2,0.5486371592898225,0.5481025186469909,0.684,0.6273249327956989
3,0.6491622905726432,0.6496280325493765,0.633,0.6294593036007768
4,0.684671167791948,0.686269093039172,0.616,0.6087596084293774
5,0.6756689172293073,0.6788549810344431,0.701,0.7042697338153139
6,0.6916729182295573,0.6950989441947534,0.722,0.7229863678804855
7,0.706176544136034,0.7091894899199616,0.735,0.7355974410913128
8,0.7099274818704676,0.7126077729003337,0.7,0.7023759398496241
9,0.7094273568392098,0.7122764755129595,0.709,0.7118448981314807
10,0.7256814203550888,0.7267015490852543,0.705,0.7075473413119224
11,0.7151787946986746,0.717888891366542,0.721,0.7240404888310329
12,0.7139284821205302,0.7170656498147016,0.758,0.7549774704858662
13,0.7296824206051513,0.7324379439007805,0.756,0.7562077497120151
14,0.7314328582145536,0.7336353470182367,0.728,0.7309741200828157
15,0.7344336084021005,0.7366546739757728,0.724,0.7269550559532211
16,0.7459364841210303,0.7474483022162445,0.727,0.7299309017977875
17,0.7334333583395849,0.7362616118753036,0.748,0.7500417707653871
18,0.7366841710427607,0.7390878365103122,0.747,0.7489653960305068
19,0.7476869217304326,0.7495566269165179,0.745,0.7477069788835289
20,0.7404351087771943,0.742844859943696,0.75,0.752225063938619
21,0.7451862965741435,0.7474157504062096,0.763,0.764342477476873
22,0.7521880470117529,0.7540549347212269,0.753,0.7551755333355847
23,0.7496874218554639,0.7520274544511485,0.771,0.7709499528922881
24,0.7496874218554639,0.751662494802571,0.766,0.767493099866449
25,0.7494373593398349,0.7518163775938786,0.765,0.7665316314347844
26,0.7501875468867217,0.752479198849669,0.768,0.7689833644774623
27,0.7506876719179795,0.7527253821594581,0.753,0.7555825428333592
28,0.7531882970742686,0.7550775386896108,0.749,0.7517439727439456
29,0.7539384846211553,0.7559964210848968,0.737,0.7397233488920808
30,0.7556889222305576,0.7574375588526332,0.742,0.744776879508157
31,0.7476869217304326,0.7504130464777788,0.78,0.7799033371691599
32,0.754438609652413,0.7565311328970786,0.777,0.7776705627934948
33,0.7559389847461866,0.757980190019166,0.758,0.7605406798330291
34,0.7541885471367842,0.7564212254866857,0.752,0.754711846305084
35,0.7606901725431358,0.7626723251200428,0.75,0.7527272727272728
36,0.7501875468867217,0.7524903201320077,0.758,0.7603831038293257
37,0.7561890472618155,0.7585841222117055,0.772,0.7734548152544887
38,0.7579394848712178,0.7602669006294901,0.777,0.7779824907457742
39,0.7644411102775694,0.7663857948284054,0.776,0.7771667631252582
40,0.7591897974493623,0.7616217087932274,0.777,0.7759859479098465
