epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.7005,0.6995719362456119,0.764,0.7684492849266193
2,0.78775,0.7905723753009355,0.764,0.769954476605457
3,0.8145,0.8168376481062942,0.795,0.7980057628261107
4,0.83875,0.8410589969222766,0.822,0.8194065696868813
5,0.85475,0.8562204041029207,0.783,0.7879417901997713
6,0.87325,0.8746093042878967,0.826,0.825875935828877
7,0.8875,0.8886593295194805,0.824,0.8233531267928859
8,0.9035,0.9044592119878021,0.793,0.7965567314634081
9,0.9235,0.9241144827586206,0.811,0.810932878665923
10,0.933,0.9334844654259816,0.817,0.8165345073375262
11,0.9455,0.9458108201932793,0.802,0.8038654476934887
12,0.9435,0.9438854237767995,0.823,0.8206617320503331
13,0.96425,0.9644203387120378,0.806,0.8049865853877831
14,0.965,0.9651845664063562,0.807,0.8049593121257698
15,0.96575,0.9659281391040582,0.805,0.8046483920993311
16,0.98025,0.9802993078667319,0.799,0.7973832866896626
17,0.97725,0.9773103398743106,0.796,0.796
18,0.9855,0.9855305154957147,0.8,0.7989552426678176
19,0.97875,0.97881945901353,0.802,0.7989327213763535
20,0.9845,0.9845326200126606,0.799,0.7997494079498669
21,0.99025,0.9902666566879339,0.807,0.8057619216580779
22,0.9885,0.9885187296211523,0.804,0.8045377586016152
23,0.99075,0.9907613556683516,0.8,0.8002786763759645
24,0.991,0.9910117735371973,0.797,0.7955336602623329
25,0.99,0.9900130817079968,0.804,0.8023422885572139
