epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.653,0.656878577454257,0.777,0.778491442148968
2,0.8145,0.8154416414278687,0.802,0.8039984472049689
3,0.864,0.864679302985559,0.811,0.8099798899471834
4,0.9265,0.9267114764013813,0.82,0.8188853901893092
5,0.95375,0.9538630628556312,0.789,0.7908559758099775
6,0.96975,0.9697842103545347,0.806,0.8036632875067592
7,0.97925,0.9792579670580939,0.803,0.8005644356548678
8,0.98,0.9800194640135151,0.787,0.788735156668965
9,0.98025,0.9802639730301185,0.806,0.8018971594443292
10,0.99125,0.9912533596028106,0.795,0.7953657374685917
11,0.99525,0.9952492081882041,0.796,0.7952604726100967
12,0.97775,0.9777633548490389,0.794,0.7942491614399542
13,0.989,0.989006010023852,0.781,0.7827019663550484
14,0.9955,0.9955004968712028,0.792,0.7909314663895421
15,0.98825,0.9882532308675782,0.794,0.793547442201067
16,0.99525,0.9952513060954038,0.792,0.7930322665743351
17,0.99675,0.9967505375800452,0.793,0.7933693056390171
18,0.99175,0.9917540620628309,0.809,0.8077657619473869
19,0.9895,0.9895034600899676,0.788,0.7893924466338259
20,0.99675,0.9967508936442238,0.794,0.7942491614399542
21,0.9945,0.994501211428709,0.812,0.8117573342356229
22,0.9915,0.9915018722080047,0.801,0.8006987403241494
23,0.99225,0.9922529756482036,0.797,0.7982051347947882
