epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.67325,0.6788416117079809,0.738,0.7423216082956337
2,0.798,0.8015839667262693,0.75,0.7548712741675618
3,0.86275,0.8644875405298671,0.765,0.765077782139633
4,0.907,0.9079053087562982,0.778,0.7739565454843349
5,0.94525,0.9456638472958642,0.76,0.7624732363082247
6,0.96375,0.9639469827270264,0.753,0.7573576167816464
7,0.9715,0.9715924610690235,0.758,0.7587725070402825
8,0.98125,0.981294591158714,0.773,0.7687600942383218
9,0.9775,0.9775445054945056,0.758,0.7575059129235827
10,0.98775,0.9877692785422026,0.76,0.7628108108108108
11,0.99025,0.9902605614251068,0.764,0.7659575575939213
12,0.9935,0.9935065057900816,0.764,0.765446034443049
13,0.9985,0.998500504424047,0.782,0.7821437362637362
14,0.9985,0.9985002527105377,0.783,0.7827810799636153
15,0.999,0.9990003362826978,0.783,0.7816898909978303
16,0.99925,0.9992500632399933,0.786,0.7849482393928083
17,0.999,0.9990001684736917,0.785,0.7840225916571842
18,0.9995,0.9995,0.783,0.7823275798507437
19,0.99925,0.9992501893459159,0.782,0.7814018807390198
20,0.99925,0.9992500632399933,0.782,0.7815549132947976
21,0.99925,0.9992500632399933,0.785,0.7844858648629823
22,0.99925,0.9992501893459159,0.786,0.7855630800233335
23,0.9995,0.9995,0.786,0.7855630800233335
24,0.99925,0.9992500632399933,0.785,0.7844858648629823
25,0.99925,0.9992500632399933,0.786,0.7855630800233335
26,0.99925,0.9992500632399933,0.786,0.7855630800233335
27,0.9995,0.9995,0.786,0.7855630800233335
28,0.9995,0.9995,0.785,0.7846356338552207
29,0.9995,0.9995000842368459,0.785,0.7843337772714742
30,0.9995,0.9995,0.786,0.7854128554043589
31,0.99975,0.9997499788783998,0.785,0.7844858648629823
