epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.7161487236403996,0.7172636667613758,0.8091009988901221,0.8080778860940384
2,0.8027192008879024,0.8031979712103289,0.7724750277469479,0.7698796056001167
3,0.8371254162042175,0.8375614480337799,0.827968923418424,0.8266223634945326
4,0.8612652608213096,0.8615865531979361,0.7980022197558269,0.7900042326497506
5,0.8793007769145395,0.8795311938190955,0.7957824639289678,0.7958812141707394
6,0.9150943396226415,0.9152455261310782,0.8190899001109878,0.8174052585937664
7,0.9517203107658158,0.9517738573568185,0.7902330743618202,0.790124545491777
8,0.9714206437291898,0.9714444663925158,0.7802441731409545,0.7794716287684111
9,0.9747502774694784,0.9747615387305493,0.8124306326304107,0.8127634698106402
10,0.9930632630410655,0.9930654249816874,0.8290788013318535,0.8290788013318535
11,0.9925083240843507,0.9925101485665487,0.806881243063263,0.8062949775810676
12,0.9933407325194229,0.9933425816680953,0.8102108768035516,0.8090721013938225
13,0.9822419533851277,0.9822504626122983,0.8201997780244173,0.8200037761822797
14,0.9977802441731409,0.9977805552278487,0.8201997780244173,0.8198946474401618
15,0.9997225305216426,0.999722520689232,0.8113207547169812,0.8114547238065046
16,1.0,1.0,0.8091009988901221,0.8082338436106703
17,1.0,1.0,0.8079911209766926,0.8076348924118834
18,1.0,1.0,0.806881243063263,0.8064918985316617
19,1.0,1.0,0.806881243063263,0.8064918985316617
20,1.0,1.0,0.8079911209766926,0.8076348924118834
21,1.0,1.0,0.8091009988901221,0.8087161295830217
22,1.0,1.0,0.8091009988901221,0.8087161295830217
23,1.0,1.0,0.8091009988901221,0.8087161295830217
24,1.0,1.0,0.8091009988901221,0.8087161295830217
25,1.0,1.0,0.8091009988901221,0.8087161295830217
26,1.0,1.0,0.8102108768035516,0.8097972297282122
27,1.0,1.0,0.8091009988901221,0.8087161295830217
28,1.0,1.0,0.8102108768035516,0.8097972297282122
29,1.0,1.0,0.8102108768035516,0.8097337143071617
30,1.0,1.0,0.8102108768035516,0.8097972297282122
