epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.7231807951987997,0.7254815181424134,0.859,0.8576567955515325
2,0.8539634908727182,0.8549137517229863,0.866,0.86619000511121
3,0.8829707426856714,0.8836124240109763,0.857,0.8577724079705906
4,0.9107276819204801,0.9112208376531186,0.823,0.8243461096863822
5,0.9302325581395349,0.9305151127348823,0.861,0.8613536532086044
6,0.9537384346086522,0.953868629906781,0.81,0.8114163614163614
7,0.9699924981245311,0.970038608311949,0.851,0.8514241481933491
8,0.9789947486871718,0.9790292413272637,0.837,0.8380905244168202
9,0.9832458114528632,0.98326709675644,0.839,0.8399032974567374
10,0.9907476869217304,0.9907554324876823,0.821,0.8224253393665159
11,0.9849962490622656,0.9850145053895392,0.832,0.8325517241379309
