epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.7880587683651141,0.7892677189139818,0.84625,0.84748281328542
2,0.8493279149734292,0.8498982262085287,0.83875,0.8409028054285619
3,0.8674585808065021,0.8681430221611119,0.85875,0.8587052975962645
4,0.8865270396999062,0.8869974367248111,0.84625,0.8482218078737432
5,0.901844326351985,0.9023141963943692,0.84375,0.8452950514649586
6,0.9240387621131604,0.9243062458442166,0.85375,0.8543028787308744
7,0.9315411065958112,0.9318037993198395,0.8375,0.8390789473684211
8,0.9543607377305408,0.9545190108977463,0.845,0.8440275096525096
9,0.9674898405751797,0.9675738548918752,0.85625,0.8566356286404528
10,0.9699906220693967,0.9700578018460628,0.84625,0.8448582164961475
11,0.978743357299156,0.9787757509208119,0.8475,0.8464251552273871
12,0.9784307596123789,0.9784649400735168,0.8475,0.8467721396294019
